00000800,00000001,18
000008a8,00000001,299
00000878,0000000d,452
000008bc,00000002,512
00000888,00000003,549
000008bc,00000002,806
000008d0,00000002,1207
0000087c,00000002,1408
00000910,00000001,1508
00000904,00000002,1560
00000878,0000000d,1597
000008e8,00000002,1871
000008bc,00000002,2014
00000908,00000002,2086
000008d0,00000002,2394
000008a0,00000006,2792
0000087c,00000002,3257
000008a0,00000006,3496
00000858,00000002,3610
00000888,00000003,3910
000008a0,00000006,4063
00000904,00000002,4406
000008dc,00000006,4584
00000888,00000003,4908
00000864,00000004,5073
000008a0,00000006,5397
00000858,00000002,5826
000008f8,00000001,6042
00000858,00000002,6152
000008d0,00000002,6207
00000908,00000002,6235
0000089c,00000015,6955
00000888,00000003,7145
000008d0,00000002,7520
00000858,00000002,7948
000008c8,000005c9,8000
000008d0,00000002,8402
000008a0,00000006,8905
000008f4,00000008,9157
00000878,0000000d,9527
00000900,00000001,9698
00000888,00000003,9792
000008a0,00000006,10113
00000900,00000001,10507
000008a0,00000006,10712
0000086c,00000002,11080
000008a0,00000006,11510
000008a8,00000001,11958
00000888,00000003,12187
000008dc,00000006,12304
000008f8,00000001,12596
00000904,00000002,12746
000008b4,00000001,12820
00000890,00000003,12860
000008d0,00000002,13118
000008f8,00000001,13247
0000089c,00000015,13604
000008a0,00000006,13758
000008a8,00000001,13838
000008b4,00000001,13881
000008bc,00000002,13904
00000858,00000002,14187
000008f4,00000008,14335
0000086c,00000002,14672
00000840,00000002,14844
00000890,00000003,15171
00000858,00000002,15605
000008a0,00000006,15827
000008bc,00000002,16204
0000086c,00000002,16395
000008dc,00000006,16495
00000904,00000002,16811
00000908,00000002,17211
000008a8,00000001,17682
0000086c,00000002,18191
000008d0,00000002,18685
000008f8,00000001,19171
00000904,00000002,19416
00000878,0000000d,19789
0000087c,00000002,20199
00000888,00000003,20411
00000890,00000003,20517
000008e8,00000002,20809
000008e8,00000002,20956
00000888,00000003,21031
00000908,00000002,21339
0000089c,00000015,21513
00000864,00000004,21574
00000900,00000001,21882
00000890,00000003,22040
000008a8,00000001,22388
000008e8,00000002,22836
000008a0,00000006,23064
000008dc,00000006,23448
000008e8,00000002,23876
000008a8,00000001,24331
00000888,00000003,24833
00000864,00000004,25324
