00000628,00000001,000ffffe,18
00000644,00000001,000ffffe,43
0000063c,00000001,000ffffe,56
00000644,00000001,000ffffe,127
00000648,00000001,000ffffe,163
00000628,00000001,000ffffe,165
0000063c,00000001,000ffffe,182
0000064c,00000001,000ffffe,255
00000638,00000007,00080443,362
00000644,00000001,000ffffe,407
00000638,00000007,00080443,439
0000063c,00000001,000ffffe,462
00000644,00000001,000ffffe,477
0000064c,00000001,000ffffe,549
00000638,00000007,00080445,607
00000648,00000001,000ffffe,611
0000064c,00000001,000ffffe,696
00000630,00000002,000ffffe,804
000006cc,00000011,00080400,937
00000680,00000002,000ffffe,965
000006b8,00000011,00080040,1002
000006e8,00000007,00080480,1083
000006bc,00000001,000ffffe,1123
000006d4,00000001,000ffffe,1194
000006e8,00000007,00080480,1236
000006d4,00000001,000ffffe,1296
000006c4,00000002,000ffffe,1346
000006e8,00000007,00080480,1440
00000688,0000000a,00080480,1552
000006b8,00000011,00080042,1614
00000678,00000001,000ffffe,1626
000006ec,00000001,000ffffe,1656
000006d4,00000001,000ffffe,1687
000006ac,00000002,000ffffe,1768
000006b8,00000011,00080043,1903
000006fc,00000001,000ffffe,1931
00000680,00000002,000ffffe,2002
000006f4,00000001,000ffffe,2116
00000678,00000001,000ffffe,2238
000006bc,00000001,000ffffe,2347
000006dc,00000002,000ffffe,2403
00000680,00000002,000ffffe,2495
000006e8,00000007,00080480,2562
000006d4,00000001,000ffffe,2571
000006f4,00000001,000ffffe,2643
000006dc,00000002,000ffffe,2760
00000688,0000000a,00080480,2810
0000068c,00000001,000ffffe,2870
00000678,00000001,000ffffe,2969
00000760,00000011,00080480,3099
00000790,00000001,000ffffe,3124
00000720,00000001,000ffffe,3145
00000768,00000001,000ffffe,3220
00000788,00000001,000ffffe,3258
0000070c,00000001,000ffffe,3261
0000071c,0000000a,00080440,3272
0000078c,00000001,000ffffe,3344
00000740,00000002,000ffffe,3386
00000740,00000002,000ffffe,3471
00000788,00000001,000ffffe,3513
0000071c,0000000a,00080441,3544
0000077c,00000007,00080442,3568
00000760,00000011,00080480,3592
00000770,00000002,000ffffe,3664
00000738,00000001,000ffffe,3707
0000074c,00000011,00080042,3793
0000074c,00000011,00080043,3844
00000770,00000002,000ffffe,3919
0000070c,00000001,000ffffe,4043
0000077c,00000007,00080444,4112
0000074c,00000011,00080044,4218
0000071c,0000000a,00080444,4275
00000714,00000002,000ffffe,4283
00000738,00000001,000ffffe,4370
00000760,00000011,00080480,4510
0000070c,00000001,000ffffe,4604
00000714,00000002,000ffffe,4708
0000078c,00000001,000ffffe,4823
0000071c,0000000a,00080447,4938
00000740,00000002,000ffffe,4967
00000720,00000001,000ffffe,5049
000006f4,00000001,000ffffe,5155
00000678,00000001,000ffffe,5192
00000688,0000000a,00080480,5220
000006c4,00000002,000ffffe,5286
000006d4,00000001,000ffffe,5338
0000068c,00000001,000ffffe,5365
000006ec,00000001,000ffffe,5443
00000678,00000001,000ffffe,5498
000006dc,00000002,000ffffe,5527
0000068c,00000001,000ffffe,5620
000006f8,00000001,000ffffe,5683
000006cc,00000011,00080402,5795
00000680,00000002,000ffffe,5908
000006f8,00000001,000ffffe,5955
00000688,0000000a,00080480,6036
000006fc,00000001,000ffffe,6143
0000068c,00000001,000ffffe,6249
00000688,0000000a,00080480,6359
000006f8,00000001,000ffffe,6465
00000680,00000002,000ffffe,6588
000006e8,00000007,00080480,6638
00000680,00000002,000ffffe,6656
000006cc,00000011,00080405,6747
000006e8,00000007,00080480,6791
000006b8,00000011,0008004d,6812
000006c4,00000002,000ffffe,6867
000006a4,00000001,000ffffe,6981
000006dc,00000002,000ffffe,7040
0000068c,00000001,000ffffe,7116
000006c4,00000002,000ffffe,7156
00000738,00000001,000ffffe,7239
00000770,00000002,000ffffe,7298
00000750,00000001,000ffffe,7310
00000768,00000001,000ffffe,7381
00000758,00000002,000ffffe,7482
00000758,00000002,000ffffe,7516
00000760,00000011,00080480,7532
0000074c,00000011,00080049,7597
00000714,00000002,000ffffe,7679
00000790,00000001,000ffffe,7727
00000750,00000001,000ffffe,7752
00000720,00000001,000ffffe,7765
00000768,00000001,000ffffe,7772
00000788,00000001,000ffffe,7776
0000078c,00000001,000ffffe,7794
0000074c,00000011,00080049,7835
0000078c,00000001,000ffffe,7896
00000790,00000001,000ffffe,7999
0000070c,00000001,000ffffe,8051
00000768,00000001,000ffffe,8061
00000788,00000001,000ffffe,8082
00000738,00000001,000ffffe,8157
00000738,00000001,000ffffe,8259
00000740,00000002,000ffffe,8295
0000074c,00000011,0008004b,8328
00000768,00000001,000ffffe,8401
00000738,00000001,000ffffe,8446
0000074c,00000011,0008004c,8549
00000790,00000001,000ffffe,8577
00000740,00000002,000ffffe,8584
00000750,00000001,000ffffe,8602
00000780,00000001,000ffffe,8676
00000770,00000002,000ffffe,8794
0000071c,0000000a,00080445,8861
00000770,00000002,000ffffe,8947
0000074c,00000011,0008004e,9025
00000738,00000001,000ffffe,9041
0000078c,00000001,000ffffe,9137
00000770,00000002,000ffffe,9202
0000074c,00000011,0008004f,9297
000006f4,00000001,000ffffe,9401
0000068c,00000001,000ffffe,9509
0000068c,00000001,000ffffe,9611
00000678,00000001,000ffffe,9710
000006e8,00000007,00080480,9830
000006f8,00000001,000ffffe,9929
00000678,00000001,000ffffe,9982
000006b8,00000011,00080052,10089
00000680,00000002,000ffffe,10120
000006c4,00000002,000ffffe,10127
000006e8,00000007,00080480,10136
000006cc,00000011,00080403,10228
000006f8,00000001,000ffffe,10269
000006b8,00000011,00080053,10378
000006f8,00000001,000ffffe,10473
0000068c,00000001,000ffffe,10529
000006f8,00000001,000ffffe,10541
0000068c,00000001,000ffffe,10563
000006cc,00000011,00080404,10670
00000678,00000001,000ffffe,10764
00000680,00000002,000ffffe,10868
00000688,0000000a,00080480,10928
000006c4,00000002,000ffffe,10994
000006d4,00000001,000ffffe,11046
000006fc,00000001,000ffffe,11137
000006bc,00000001,000ffffe,11247
000006e8,00000007,00080480,11292
000006f8,00000001,000ffffe,11306
0000068c,00000001,000ffffe,11396
000006ec,00000001,000ffffe,11457
00000720,00000001,000ffffe,11552
00000780,00000001,000ffffe,11664
0000071c,0000000a,00080440,11713
0000074c,00000011,00080050,11724
00000720,00000001,000ffffe,11790
00000740,00000002,000ffffe,11912
00000770,00000002,000ffffe,12037
0000071c,0000000a,00080442,12172
0000078c,00000001,000ffffe,12227
00000788,00000001,000ffffe,12243
00000738,00000001,000ffffe,12267
00000770,00000002,000ffffe,12360
00000714,00000002,000ffffe,12486
00000768,00000001,000ffffe,12596
00000770,00000002,000ffffe,12717
0000070c,00000001,000ffffe,12824
00000738,00000001,000ffffe,12862
00000720,00000001,000ffffe,12929
00000790,00000001,000ffffe,13027
00000770,00000002,000ffffe,13125
00000760,00000011,00080480,13189
00000780,00000001,000ffffe,13262
00000750,00000001,000ffffe,13307
00000780,00000001,000ffffe,13330
00000758,00000002,000ffffe,13343
00000780,00000001,000ffffe,13364
0000074c,00000011,00080056,13407
00000790,00000001,000ffffe,13469
000006b8,00000011,00080057,13604
000006f8,00000001,000ffffe,13648
000006c4,00000002,000ffffe,13727
000006e8,00000007,00080480,13787
00000688,0000000a,00080480,13882
000006cc,00000011,00080401,14015
000006ac,00000002,000ffffe,14047
000006c4,00000002,000ffffe,14135
000006ec,00000001,000ffffe,14258
000006c4,00000002,000ffffe,14305
000006dc,00000002,000ffffe,14376
000006cc,00000011,00080403,14491
000006ac,00000002,000ffffe,14574
000006a4,00000001,000ffffe,14606
00000678,00000001,000ffffe,14687
0000068c,00000001,000ffffe,14792
000006ac,00000002,000ffffe,14846
000006f8,00000001,000ffffe,14872
000006e8,00000007,00080480,14892
00000680,00000002,000ffffe,14910
000006ec,00000001,000ffffe,14921
000006f4,00000001,000ffffe,15007
000006ac,00000002,000ffffe,15067
000006f4,00000001,000ffffe,15160
000006ac,00000002,000ffffe,15288
00000680,00000002,000ffffe,15352
000006ec,00000001,000ffffe,15431
00000680,00000002,000ffffe,15488
000006cc,00000011,00080407,15579
000006c4,00000002,000ffffe,15682
00000768,00000001,000ffffe,15788
00000760,00000011,00080480,15922
00000788,00000001,000ffffe,16013
0000070c,00000001,000ffffe,16067
00000750,00000001,000ffffe,16142
00000770,00000002,000ffffe,16181
00000768,00000001,000ffffe,16247
00000768,00000001,000ffffe,16281
00000750,00000001,000ffffe,16346
0000074c,00000011,00080059,16395
0000071c,0000000a,00080442,16469
00000760,00000011,00080480,16517
00000780,00000001,000ffffe,16522
00000750,00000001,000ffffe,16533
00000780,00000001,000ffffe,16539
0000078c,00000001,000ffffe,16558
00000758,00000002,000ffffe,16569
00000758,00000002,000ffffe,16654
0000070c,00000001,000ffffe,16696
00000714,00000002,000ffffe,16783
00000760,00000011,00080480,16857
00000740,00000002,000ffffe,16872
0000078c,00000001,000ffffe,16966
0000077c,00000007,00080444,17020
00000790,00000001,000ffffe,17086
0000070c,00000001,000ffffe,17138
0000074c,00000011,0008005c,17228
00000738,00000001,000ffffe,17329
00000758,00000002,000ffffe,17453
0000078c,00000001,000ffffe,17578
00000770,00000002,000ffffe,17626
00000714,00000002,000ffffe,17650
00000758,00000002,000ffffe,17742
000007a4,00000001,000ffffe,17803
0000068c,00000001,000ffffe,17882
000006ac,00000002,000ffffe,17987
0000068c,00000001,000ffffe,18086
0000068c,00000001,000ffffe,18120
00000678,00000001,000ffffe,18185
000006e8,00000007,00080480,18288
000006b8,00000011,00080061,18411
000006e8,00000007,00080480,18458
000006bc,00000001,000ffffe,18481
000006ac,00000002,000ffffe,18497
000006ec,00000001,000ffffe,18504
000006fc,00000001,000ffffe,18524
000006c4,00000002,000ffffe,18551
000006fc,00000001,000ffffe,18643
000006c4,00000002,000ffffe,18755
000006cc,00000011,00080403,18890
000006c4,00000002,000ffffe,18925
00000688,0000000a,00080480,18927
000006b8,00000011,00080063,19023
000006d4,00000001,000ffffe,19113
000006cc,00000011,00080405,19230
000006cc,00000011,00080405,19281
000006f4,00000001,000ffffe,19355
000006bc,00000001,000ffffe,19416
000006a4,00000001,000ffffe,19447
000006fc,00000001,000ffffe,19527
000006a4,00000001,000ffffe,19583
000006fc,00000001,000ffffe,19595
00000678,00000001,000ffffe,19681
000006a4,00000001,000ffffe,19804
00000758,00000002,000ffffe,19931
0000070c,00000001,000ffffe,20041
00000740,00000002,000ffffe,20098
00000780,00000001,000ffffe,20173
00000790,00000001,000ffffe,20227
0000074c,00000011,00080060,20318
0000074c,00000011,00080060,20420
00000720,00000001,000ffffe,20503
0000071c,0000000a,00080442,20562
00000750,00000001,000ffffe,20626
00000768,00000001,000ffffe,20663
00000758,00000002,000ffffe,20747
00000790,00000001,000ffffe,20788
00000738,00000001,000ffffe,20793
00000750,00000001,000ffffe,20796
00000740,00000002,000ffffe,20863
00000720,00000001,000ffffe,20911
00000770,00000002,000ffffe,20937
00000720,00000001,000ffffe,21013
00000758,00000002,000ffffe,21053
00000770,00000002,000ffffe,21073
00000720,00000001,000ffffe,21098
0000078c,00000001,000ffffe,21127
00000760,00000011,00080480,21222
00000770,00000002,000ffffe,21311
00000780,00000001,000ffffe,21346
0000078c,00000001,000ffffe,21348
00000770,00000002,000ffffe,21430
00000788,00000001,000ffffe,21534
0000077c,00000007,00080446,21657
00000720,00000001,000ffffe,21710
00000790,00000001,000ffffe,21740
00000780,00000001,000ffffe,21771
0000077c,00000007,00080446,21793
0000078c,00000001,000ffffe,21875
00000750,00000001,000ffffe,21935
0000070c,00000001,000ffffe,22013
000006bc,00000001,000ffffe,22132
000006e8,00000007,00080480,22262
0000068c,00000001,000ffffe,22366
000006c4,00000002,000ffffe,22406
000006bc,00000001,000ffffe,22489
000006d4,00000001,000ffffe,22611
000006a4,00000001,000ffffe,22656
000006b8,00000011,00080069,22759
000006e8,00000007,00080480,22857
000006fc,00000001,000ffffe,22889
00000688,0000000a,00080480,22901
00000678,00000001,000ffffe,22958
000006dc,00000002,000ffffe,23072
00000678,00000001,000ffffe,23128
000006c4,00000002,000ffffe,23222
000006a4,00000001,000ffffe,23268
000006dc,00000002,000ffffe,23293
000006ac,00000002,000ffffe,23321
00000680,00000002,000ffffe,23351
000006dc,00000002,000ffffe,23446
000006a4,00000001,000ffffe,23557
000006b8,00000011,0008006c,23677
000006c4,00000002,000ffffe,23698
000006b8,00000011,0008006d,23779
00000678,00000001,000ffffe,23876
00000688,0000000a,00080480,24006
000006c4,00000002,000ffffe,24123
0000070c,00000001,000ffffe,24185
0000078c,00000001,000ffffe,24217
00000780,00000001,000ffffe,24249
00000770,00000002,000ffffe,24282
00000740,00000002,000ffffe,24378
00000788,00000001,000ffffe,24505
00000750,00000001,000ffffe,24617
00000760,00000011,00080480,24737
00000750,00000001,000ffffe,24821
00000720,00000001,000ffffe,24919
0000078c,00000001,000ffffe,25016
00000760,00000011,00080480,25145
00000770,00000002,000ffffe,25251
00000738,00000001,000ffffe,25311
00000714,00000002,000ffffe,25343
0000070c,00000001,000ffffe,25358
00000750,00000001,000ffffe,25382
00000714,00000002,000ffffe,25411
00000768,00000001,000ffffe,25504
00000714,00000002,000ffffe,25632
00000768,00000001,000ffffe,25759
00000720,00000001,000ffffe,25871
00000760,00000011,00080480,25927
00000760,00000011,00080480,25995
00000738,00000001,000ffffe,26093
00000750,00000001,000ffffe,26198
000006e8,00000007,00080480,26321
000006fc,00000001,000ffffe,26438
000006d4,00000001,000ffffe,26500
000006c4,00000002,000ffffe,26516
000006fc,00000001,000ffffe,26523
000006f8,00000001,000ffffe,26607
000006ac,00000002,000ffffe,26666
000006f4,00000001,000ffffe,26742
000006f8,00000001,000ffffe,26845
000006e8,00000007,00080480,26967
0000068c,00000001,000ffffe,27003
000006c4,00000002,000ffffe,27009
000006bc,00000001,000ffffe,27075
0000068c,00000001,000ffffe,27173
00000688,0000000a,00080480,27215
00000688,0000000a,00080480,27232
000006bc,00000001,000ffffe,27296
000006d4,00000001,000ffffe,27333
