000007bc,00000001,18
00000804,00000011,315
00000828,00000002,441
00000840,00000001,511
00000848,00000001,547
000007d4,0000000a,814
00000834,00000007,1212
00000818,00000011,1423
00000810,00000002,1509
00000810,00000002,1560
000007c4,00000001,1585
00000838,00000001,1870
000007d8,00000001,2013
000007c4,00000001,2085
000007d4,0000000a,2402
000007f8,00000002,2788
00000844,00000001,3256
00000834,00000007,3497
00000828,00000002,3610
000007f0,00000001,3908
000007cc,00000002,4059
000007cc,00000002,4406
000007f8,00000002,4580
00000818,00000011,4922
000007d8,00000001,5070
000007d4,0000000a,5401
00000820,00000001,5825
00000804,00000011,6058
00000838,00000001,6151
00000820,00000001,6206
000007f0,00000001,6234
000007cc,00000002,6521
00000810,00000002,6936
00000834,00000007,7149
00000840,00000001,7519
000007c4,00000001,7947
000007f8,00000002,8402
00000828,00000002,8901
00000804,00000011,9166
00000840,00000001,9515
00000820,00000001,9698
000007c4,00000001,9790
00000834,00000007,10114
00000838,00000001,10507
00000818,00000011,10723
00000808,00000001,11079
00000810,00000002,11506
000007d4,0000000a,11967
00000810,00000002,12186
00000860,00000001,12299
000007f0,00000001,12596
000007c4,00000001,12745
00000808,00000001,12820
00000828,00000002,12859
00000844,00000001,13117
00000818,00000011,13263
00000804,00000011,13600
000007f8,00000002,13754
000007f8,00000002,13839
00000840,00000001,13881
000007d4,0000000a,13912
00000838,00000001,14186
000007d4,0000000a,14337
00000844,00000001,14671
000007c4,00000001,14843
000007d8,00000001,15169
00000838,00000001,15604
00000820,00000001,15822
000007c4,00000001,16203
000007bc,00000001,16394
00000810,00000002,16491
000007f8,00000002,16811
00000840,00000001,17210
00000820,00000001,17682
00000810,00000002,18191
000007d4,0000000a,18693
00000838,00000001,19171
000007d4,0000000a,19424
00000808,00000001,19777
000007d8,00000001,20198
00000820,00000001,20409
00000808,00000001,20515
00000828,00000002,20809
000007f8,00000002,20956
00000828,00000002,21030
00000840,00000001,21338
00000848,00000001,21493
00000840,00000001,21882
000007c4,00000001,22038
00000820,00000001,22388
00000810,00000002,22836
00000828,00000002,23060
00000818,00000700,23362
000007f0,00000001,23443
00000828,00000002,23876
00000810,00000002,24332
00000810,00000002,24832
000007f8,00000002,25322
00000840,00000001,25806
000007d4,0000000a,26058
000007f8,00000002,26172
000007c4,00000001,26472
00000844,00000001,26623
00000848,00000001,26699
000007d8,00000001,27009
00000808,00000001,27404
000007cc,00000002,27603
00000844,00000001,27973
00000840,00000001,28159
00000808,00000001,28492
000007f0,00000001,28659
00000838,00000001,28743
000007f0,00000001,29057
00000820,00000001,29454
000007f8,00000002,29654
000007d8,00000001,29753
000007f0,00000001,30043
00000844,00000001,30428
000007f0,00000001,30621
00000848,00000001,30718
00000808,00000001,30767
00000844,00000001,30792
00000828,00000002,30806
000007cc,00000002,30813
000007f8,00000002,30817
00000808,00000001,31090
00000810,00000002,31500
00000818,00000011,31720
00000820,00000001,31807
00000828,00000002,31860
000007f8,00000002,32126
000007d4,0000000a,32539
000007cc,00000002,32734
00000828,00000002,32836
00000838,00000001,33126
00000804,00000011,33288
00000828,00000002,33618
00000840,00000001,33790
00000848,00000001,33877
00000818,00000011,33937
00000848,00000001,34183
00000828,00000002,34587
00000818,00000011,34804
000007cc,00000002,35162
000007cc,00000002,35349
00000820,00000001,35442
00000838,00000001,35921
00000810,00000002,36274
00000840,00000001,36721
00000834,00000007,37191
00000804,00000011,37705
000007f8,00000002,38182
00000844,00000001,38667
00000844,00000001,39150
000007d4,0000000a,39401
00000804,00000011,39769
000007c4,00000001,39934
00000804,00000011,40041
000007cc,00000002,40072
00000818,00000011,40350
000007f8,00000002,40467
000007d8,00000001,40804
00000834,00000007,41251
00000834,00000007,41472
000007f0,00000001,41577
00000818,00000011,41649
000007f8,00000002,41902
000007d8,00000001,42307
000007d4,0000000a,42791
00000834,00000007,43026
00000840,00000001,43379
00000808,00000001,43559
00000840,00000001,43889
00000818,00000011,44342
00000808,00000001,44545
00000844,00000001,44655
000007f0,00000001,44950
00000818,00000011,45114
00000844,00000001,45444
000007cc,00000002,45890
000007d8,00000001,46112
00000838,00000001,46224
000007d8,00000001,46520
000007c4,00000001,46908
000007c4,00000001,47374
00000834,00000007,47885
00000820,00000001,48132
000007cc,00000002,48260
00000840,00000001,48323
00000840,00000001,48595
00000840,00000001,49003
00000808,00000001,49479
00000808,00000001,49989
00000818,00000011,50500
000007d4,0000000a,50741
00000818,00000011,51112
00000848,00000001,51518
00000810,00000002,51970
00000838,00000001,52195
00000848,00000001,52725
000007d8,00000001,52814
00000840,00000001,52859
000007d8,00000001,52882
00000844,00000001,52894
000007f0,00000001,53172
000007c4,00000001,53583
000007d4,0000000a,53798
000007d8,00000001,54164
00000818,00000700,54339
000007f0,00000001,54352
00000844,00000001,54686
00000834,00000007,55131
000007f0,00000001,55345
00000834,00000007,55733
000007cc,00000002,56159
00000838,00000001,56374
000007d4,0000000a,56763
00000808,00000001,57184
00000838,00000001,57639
000007d8,00000001,57867
000007c4,00000001,58221
00000818,00000011,58654
00000840,00000001,58847
000007c4,00000001,58952
000007d4,0000000a,59014
00000834,00000007,59038
00000818,00000011,59062
00000848,00000001,59325
00000838,00000001,59465
00000844,00000001,59807
00000848,00000001,60250
000007c4,00000001,60472
00000818,00000011,60871
00000840,00000001,61047
00000820,00000001,61383
000007cc,00000002,61824
000007d4,0000000a,62292
00000828,00000002,62786
00000818,00000011,63292
00000820,00000001,63522
00000848,00000001,63885
00000828,00000002,64068
000007d4,0000000a,64407
00000844,00000001,64564
00000844,00000001,64887
00000808,00000001,65049
000007f8,00000002,65371
00000804,00000011,65547
000007d4,0000000a,65621
00000818,00000011,65669
00000838,00000001,65674
00000808,00000001,65685
00000838,00000001,65691
00000848,00000001,65966
000007cc,00000002,66105
000007d4,0000000a,66454
000007d8,00000001,66616
000007f0,00000001,66702
00000838,00000001,67017
000007cc,00000002,67176
00000834,00000007,67532
00000828,00000002,67703
00000848,00000001,68030
00000820,00000001,68466
000007c4,00000001,69425
00000804,00000011,69692
00000838,00000001,69802
00000820,00000001,70105
00000818,00000011,70273
000007c4,00000001,70605
00000818,00000700,70715
000007f0,00000001,71051
00000810,00000002,71515
00000834,00000007,71752
00000828,00000002,72103
000007f0,00000001,72520
00000828,00000002,72970
00000844,00000001,73194
00000818,00000011,73323
00000844,00000001,73364
00000820,00000001,73393
00000810,00000002,73409
00000848,00000001,73416
000007d8,00000001,73692
00000844,00000001,74102
00000848,00000001,74579
000007c4,00000001,74818
000007cc,00000002,74939
00000834,00000007,75244
00000828,00000002,75629
00000834,00000007,76101
00000810,00000002,76330
00000810,00000002,76687
000007c4,00000001,76865
000007f8,00000002,76956
00000848,00000001,77272
000007f8,00000002,77432
000007c4,00000001,77511
00000848,00000001,77823
000007f0,00000001,78219
00000844,00000001,78689
00000834,00000007,79202
00000828,00000002,79451
000007f0,00000001,79817
00000828,00000002,80002
000007d8,00000001,80333
00000848,00000001,80771
00000848,00000001,81230
00000810,00000002,81461
00000804,00000011,81831
00000808,00000001,81993
00000838,00000001,82322
00000810,00000002,82488
00000804,00000011,82586
00000840,00000001,82612
000007d8,00000001,82873
00000844,00000001,83004
00000838,00000001,83070
00000834,00000007,83381
00000834,00000007,83534
000007f0,00000001,83605
00000818,00000011,83660
00000834,00000007,83670
00000844,00000001,83946
000007d8,00000001,84359
00000804,00000011,84582
00000810,00000002,84671
00000828,00000002,84963
00000804,00000011,85364
00000834,00000007,85819
000007c4,00000001,86046
00000844,00000001,86163
00000804,00000011,86238
000007d4,0000000a,86261
000007c4,00000001,86539
00000810,00000002,86684
00000834,00000007,87033
00000840,00000001,87471
000007c4,00000001,87933
000007d8,00000001,88436
000007c4,00000001,88688
00000818,00000011,89070
00000808,00000001,89477
00000844,00000001,89689
000007d4,0000000a,90076
00000848,00000001,90496
00000820,00000001,90711
00000848,00000001,90819
000007f0,00000001,91113
000007c4,00000001,91500
00000808,00000001,91694
000007d4,0000000a,92072
00000820,00000001,92248
000007cc,00000002,92342
00000840,00000001,92388
000007f0,00000001,92412
00000848,00000001,92696
000007f8,00000002,93111
00000810,00000002,93590
00000820,00000001,93829
00000804,00000011,94205
000007cc,00000002,94610
00000818,00000011,95075
00000838,00000001,95556
00000808,00000001,95805
00000838,00000001,95930
00000810,00000002,95994
00000804,00000011,96041
00000844,00000001,96313
00000804,00000011,96745
00000820,00000001,97209
00000834,00000007,97727
00000844,00000001,98217
000007d8,00000001,98705
00000828,00000002,99190
000007c4,00000001,99671
000007f8,00000002,100153
000007cc,00000002,100394
000007d8,00000001,100514
00000838,00000001,100575
00000820,00000001,100606
00000818,00000011,100638
000007c4,00000001,100902
000007f0,00000001,101314
00000804,00000011,101808
00000808,00000001,102303
000007cc,00000002,102560
00000834,00000007,102933
00000828,00000002,103352
000007f0,00000001,103803
00000818,00000011,104317
00000844,00000001,104790
000007f8,00000002,105036
00000818,00000011,105174
000007d8,00000001,105220
000007d4,0000000a,105500
000007d4,0000000a,105636
000007d4,0000000a,105976
000007d4,0000000a,106418
00000840,00000001,106870
00000808,00000001,107101
000007f0,00000001,107217
00000838,00000001,107515
00000828,00000002,107905
000007d4,0000000a,108108
00000844,00000001,108197
00000844,00000001,108486
000007c4,00000001,108631
000007f8,00000002,108705
00000810,00000002,108742
00000820,00000001,108760
000007d8,00000001,108770
00000810,00000002,109048
00000828,00000002,109187
00000838,00000001,109256
00000840,00000001,109563
00000844,00000001,109717
00000808,00000001,110066
00000834,00000007,110247
00000844,00000001,110329
000007cc,00000002,110646
00000810,00000002,111044
000007d8,00000001,111514
000007cc,00000002,111751
000007d4,0000000a,112117
00000838,00000001,112527
00000834,00000007,112743
00000844,00000001,113114
000007c4,00000001,113303
00000820,00000001,113398
00000808,00000001,113446
00000848,00000001,113710
00000834,00000007,114120
00000820,00000001,114588
000007d4,0000000a,115106
000007d4,0000000a,115361
00000828,00000002,115481
00000818,00000011,115800
00000820,00000001,116176
000007d4,0000000a,116653
00000810,00000002,117151
00000810,00000002,117644
000007c4,00000001,117890
000007f8,00000002,118015
000007cc,00000002,118317
000007cc,00000002,118708
000007d8,00000001,118903
00000848,00000001,119273
00000848,00000001,119698
00000810,00000002,119912
00000838,00000001,120018
00000848,00000001,120072
00000828,00000002,120340
00000818,00000011,120489
000007cc,00000002,120813
000007cc,00000002,120983
000007d8,00000001,121307
00000838,00000001,121470
00000820,00000001,121552
000007c4,00000001,121865
000007f0,00000001,122022
00000844,00000001,122101
000007f0,00000001,122141
00000818,00000011,122417
000007d8,00000001,122803
00000820,00000001,123276
00000818,00000011,123529
00000818,00000011,123648
000007cc,00000002,123693
00000848,00000001,123962
00000844,00000001,124369
00000844,00000001,124573
00000810,00000002,124948
00000820,00000001,125374
000007d8,00000001,125588
00000810,00000002,125968
00000828,00000002,126158
00000804,00000011,126508
000007f0,00000001,126660
00000844,00000001,126984
00000808,00000001,127418
000007f8,00000002,127876
00000838,00000001,128104
00000818,00000011,128235
00000848,00000001,128277
00000838,00000001,128546
00000834,00000007,128687
00000834,00000007,128755
000007f8,00000002,129056
00000808,00000001,129448
000007c4,00000001,129645
00000840,00000001,129744
00000838,00000001,129794
00000804,00000011,130075
000007d8,00000001,130192
000007d4,0000000a,130268
000007d4,0000000a,130302
000007f0,00000001,130550
00000840,00000001,130679
00000828,00000002,130745
00000820,00000001,130777
00000820,00000001,130794
00000808,00000001,130808
00000820,00000001,130811
000007d4,0000000a,130812
00000834,00000007,130819
00000804,00000011,131102
00000808,00000001,131223
00000810,00000002,131293
00000818,00000011,131343
00000820,00000001,131345
000007d4,0000000a,131635
00000808,00000001,131767
00000820,00000001,131838
00000834,00000007,131880
00000844,00000001,132132
00000810,00000002,132534
000007f8,00000002,132735
000007f0,00000001,132835
000007f0,00000001,132886
00000838,00000001,132912
000007d4,0000000a,133206
00000838,00000001,133412
00000844,00000001,133720
000007cc,00000002,134115
00000828,00000002,134584
00000810,00000002,134819
00000808,00000001,134936
00000818,00000700,135131
00000820,00000001,135235
00000808,00000001,135385
00000840,00000001,135732
000007cc,00000002,135907
000007f8,00000002,136234
00000848,00000001,136397
00000844,00000001,136719
00000804,00000018,137175
00000834,00000007,137375
000007d4,0000000a,137487
00000804,00000011,137549
000007c4,00000001,137561
00000840,00000001,137847
000007f0,00000001,138262
00000810,00000002,138471
00000820,00000001,138846
00000804,00000011,139290
000007cc,00000002,139729
00000808,00000001,140227
000007d4,0000000a,140486
00000820,00000001,140842
00000804,00000011,141041
00000838,00000001,141117
000007cc,00000002,141436
00000818,00000011,141850
000007f8,00000002,142035
000007d8,00000001,142406
000007f0,00000001,142832
00000844,00000001,143285
00000840,00000001,143512
00000818,00000011,143642
000007c4,00000001,143923
00000838,00000001,144072
000007d8,00000001,144147
00000808,00000001,144185
00000828,00000002,144445
000007f8,00000002,144575
000007d4,0000000a,144920
000007cc,00000002,145081
000007cc,00000002,145166
00000820,00000001,145208
00000844,00000001,145230
000007d4,0000000a,145522
00000810,00000002,145656
00000828,00000002,145999
00000838,00000001,146170
00000848,00000001,146496
00000818,00000011,146947
00000804,00000011,147165
00000804,00000011,147546
00000820,00000001,147721
000007f0,00000001,147817
000007cc,00000002,148138
00000820,00000001,148537
00000804,00000011,149025
00000840,00000001,149517
00000844,00000001,150011
00000818,00000011,150514
00000844,00000001,150742
000007d8,00000001,151104
00000818,00000011,151541
00000848,00000001,151736
000007d8,00000001,151842
00000808,00000001,152135
000007cc,00000002,152283
00000808,00000001,152356
00000820,00000001,152665
00000834,00000007,152826
000007f8,00000002,152899
00000820,00000001,153209
00000838,00000001,153365
00000848,00000001,153715
000007f0,00000001,154162
00000808,00000001,154386
000007c4,00000001,154770
00000808,00000001,155202
00000840,00000001,155658
000007f0,00000001,156158
000007cc,00000002,156649
00000820,00000001,157133
00000844,00000001,157376
000007cc,00000002,157499
00000804,00000011,157815
000007f0,00000001,157950
00000834,00000007,158032
00000848,00000001,158336
000007d8,00000001,158731
00000840,00000001,158929
00000828,00000002,159301
00000820,00000001,159486
00000838,00000001,159819
00000820,00000001,159986
00000818,00000011,160086
000007c4,00000001,160384
00000804,00000011,160797
000007cc,00000002,160981
00000848,00000001,161080
000007c4,00000001,161370
000007f0,00000001,161755
00000820,00000001,161948
000007f8,00000002,162046
