0000081c,00000009,26
00000934,00000002,300
00000880,00000002,441
000008d0,00000014,566
000008bc,00000004,808
000008c4,00000002,1207
00000924,00000001,1407
0000092c,00000001,1508
000008d4,00000002,1560
00000914,00000002,1586
000008f4,000004bb,1721
00000934,00000002,1871
00000894,00000002,2014
00000914,00000002,2086
00000894,00000002,2394
000008bc,00000004,2790
00000914,00000002,3257
000008e0,00000004,3494
000008d0,00000014,3628
00000920,00000008,3915
000008bc,00000004,4061
000008fc,00000002,4406
000008c4,00000002,4580
00000894,00000002,4907
000008c4,00000002,5071
000008d4,00000002,5393
0000088c,00000004,5828
00000930,00000002,6043
00000924,00000001,6151
00000934,00000002,6235
000008bc,00000004,6523
00000880,00000002,6936
000008d4,00000002,7144
00000908,00000006,7524
0000088c,00000004,7950
00000920,00000008,8408
000008a0,0000000c,8911
00000908,00000006,9155
00000930,00000002,9516
0000088c,00000004,9701
00000894,00000002,9791
00000880,00000002,10109
00000934,00000002,10508
00000934,00000002,10708
00000880,00000002,11080
000008c4,00000002,11506
00000934,00000002,11959
00000920,00000008,12192
000008e0,00000004,12302
000008c4,00000002,12597
00000920,00000008,12752
000008e8,00000002,12821
000008d4,00000002,12859
000008d0,00000014,13136
0000092c,00000001,13247
000008a0,0000000c,13595
000008fc,00000002,13754
0000092c,00000001,13838
00000880,00000002,13882
00000894,00000002,13904
000008bc,00000004,14189
000008d0,00000014,14347
00000934,00000002,14672
0000092c,00000001,15169
000008fc,00000002,15605
00000934,00000002,15823
000008f4,000004bb,16053
00000880,00000002,16204
000008d0,00000014,16509
000008d0,00000014,16829
00000924,00000001,17210
000008f4,000004bb,17604
000008d4,00000002,17683
00000924,00000001,18190
00000934,00000002,18685
000008c4,00000002,19172
00000934,00000002,19416
0000088c,00000004,19780
00000894,00000002,20199
00000908,00000006,20414
00000934,00000002,20516
0000088c,00000004,20811
000008d4,00000002,20956
00000894,00000002,21030
000008c4,00000002,21494
000008a4,00000002,21572
000008a4,00000002,21883
00000880,00000002,22039
